Epro,Eflux,AmeriFlux,Units,Notes,Extra_Cols
,,START,PST,Units are the timezone the data are in,Precipitation_Tot
,,END,PST,,Rn
co2_molar_density,CO2_molfrac_Avg,CO2,mmolCO2 mol-1,,PAR_density_Avg
co2_flux_Graded,co2_flux_Graded,FC,mmolCO2 m-2 s-1,,door_is_open_Hst
qc_co2_flux,Fc_qc_grade,FC_SSITC_TEST,adimensional,,CO2_samples_Tot
co2_strg,NaN,SC,mmolCO2 m-2 s-1,,H2O_samples_Tot
H_Graded,H_Graded,H,W m-2,,
qc_H,H_qc_grade,H_SSITC_TEST,adimensional,,
LE_Graded,LE_Graded,LE,W m-2,,
qc_LE,LE_qc_grade,LE_SSITC_TEST,adimensional,,
NaN,NaN,SG,W m-2,,
shf_plate_avg,shf_plate_avg,G,W m-2,,
H_strg,NaN,SH,W m-2,,
LE_strg,NaN,SLE,W m-2,,
air_temperature,amb_tmpr_Avg,TA,deg C,,
sonic_temperature,Ts_Avg,T_SONIC,deg C,,
ts_var,Ts_Std,T_SONIC_SIGMA,deg C,,
RH,RH_Avg,RH,%,,
VPD,VPD_air,VPD,kPa,,
air_pressure,amb_press_Avg,PA,kPa,,
Rn,Rn,NETRAD,W m-2,,
PAR_density_Avg,PAR_density_Avg,PPFD_IN,mmolPhoton m-2 s-1,,
Precipitation_Tot,Precipitation_Tot,P,mm,,
tdr315_wc_Avg(1),tdr315_wc_Avg(1),SWC,%,,
tdr315_tmpr_Avg(1),tdr315_tmpr_Avg(1),TS,deg C,,
wind_dir,wnd_dir_compass,WD,Decimal degrees,,
wind_speed,rslt_wnd_spd,WS,m s-1,,
max_wind_speed,NaN,WS_MAX,m s-1,,
(z-d)/L,stability_zL,ZL,adimensional,,
L,L,MO_LENGTH,m,,
u*,u_star,USTAR,m s-1,,
Tau,tau,TAU,kg m-1 s-2,,
qc_Tau,tau_qc_grade,TAU_SSITC_TEST,adimensional,,
u_var,Ux_Std,U_SIGMA,m s-1,,
v_var,Uy_Std,V_SIGMA,m s-1,,
w_var,Uz_Std,W_SIGMA,m s-1,,
x_70%,NaN,FETCH_70,m,,
x_90%,FP_90,FETCH_90,m,,
x_peak,FP_max,FETCH_MAX,m,,
